# -608257.273578
0. *NULL* 
-2.91650384399e-17 ,  _,
-6.53813687802 ROOT  UH , _that _'s NP _.
-16.3186655232 ROOT  INTJ , NP , SQ , INTJ
-8.44697285883 ROOT  FRAG , FRAG
-7.43599623185 ROOT  UH _, ADVP .
-9.14012003939 ROOT  _oh _, NP COP ADJP SQ
-7.43599623185 ROOT  _alright _, S
-16.3186655232 ROOT  S NP S
-7.88790205974 ROOT  VP , NN _.
-6.30762486046 ROOT  _do _you _want _to VP _?
-16.3186655232 ROOT  INTJ , S , NP , SQ
-9.14012003939 ROOT  FRAG _, SQ
-9.83250473421 ROOT  INTJ , S _, INTJ , FRAG
-8.73490922245 ROOT  CC NP VP , SQ
-9.83098150467 ROOT  S , NP S
-6.43278201657 ROOT  _no _thank NP .
-7.34899641936 ROOT  _is PRP _?
-16.3186655232 ROOT  INTJ , S , INTJ , FRAG
-9.83098150467 ROOT  S , NP , S , SQ
-5.1800553973 ROOT  WHNP SQ _, _Adam _?
-6.74291844032 ROOT  _oh _, _that _'s NP .
-8.04201639773 ROOT  COP _that NP _?
-7.43599623185 ROOT  _Adam _, _you VP _.
-6.27863860648 ROOT  _oh _, FRAG
-6.94357371558 ROOT  INTJ , VP _, NP
-16.3186655232 ROOT  INTJ S , NP
-7.26896349714 ROOT  NP VP , _I VB _.
-7.53129253442 ROOT  _well _, FRAG
-16.3186655232 ROOT  FRAG , NP
-7.88790205974 ROOT  _did NP VB _?
-7.53129253442 ROOT  NP _are NP _.
-8.44697285883 ROOT  INTJ SBARQ
-16.3186655232 ROOT  ADJP , S
-9.14012003939 ROOT  UH _no , NP , S
-9.83250473421 ROOT  SINV _, NP , S
-7.75439792435 ROOT  COP _that _a NN .
-16.3186655232 ROOT  S NP
-8.44735431983 ROOT  _no _, _that COP _not NNP .
-7.53129253442 ROOT  _Adam , _did PRP VP _?
-9.83098150467 ROOT  INTJ , FRAG , INTJ , S
-9.83098150467 ROOT  SBARQ , SQ
-16.3186655232 ROOT  NP , FRAG
-5.29071926371 ROOT  AUX PRP VP _?
-7.34899641936 ROOT  _are NP NP .
-9.14012003939 ROOT  _oh _, SBARQ , NP
-9.13935755365 ROOT  S , SQ
-16.3186655232 ROOT  NP , SBARQ
-16.3186655232 ROOT  S , FRAG
-7.53129253442 ROOT  AUX NP VP _?
-16.3186655232 ROOT  INTJ , S , INTJ
-8.73490922245 ROOT  SBARQ _Adam .
-7.26896349714 ROOT  NP VP _but PRP VP _.
-8.73490922245 ROOT  INTJ _, FRAG _, S
-16.3186655232 ROOT  S , NP , INTJ
-8.73490922245 ROOT  JJ , S _, _Adam _.
-16.3186655232 ROOT  FRAG , CC FRAG
-9.83250473421 ROOT  INTJ , FRAG WHNP SQ _?
-16.3186655232 ROOT  INTJ , S
-16.3186655232 ROOT  INTJ , FRAG SBARQ
-5.88275720942 ROOT  _she VP _.
-16.3186655232 ROOT  NP , S , INTJ
-9.83250473421 ROOT  INTJ _, NP S
-16.3186655232 ROOT  INTJ , SBARQ
-7.34899641936 ROOT  NP VBD NP .
-4.30063476435 ROOT  ADJP _.
-6.02733387127 ROOT  _you _what _?
-16.3186655232 ROOT  S CC S
-7.63663608929 ROOT  VP _and NP VP .
-7.00072714058 ROOT  _well _, _you VP _.
-9.83098150467 ROOT  INTJ NP , S
-6.0727946674 ROOT  NNS _.
-9.14012003939 ROOT  _Mr NN .
-5.51652181796 ROOT  _do _n't VP _.
-16.3186655232 ROOT  S , S , S
-9.83250473421 ROOT  SQ _, NP , FRAG
-7.75439792435 ROOT  _you _'re _looking PP .
-7.53129253442 ROOT  S _, UH .
-16.3186655232 ROOT  S , S , NP
-7.43599623185 ROOT  INTJ _, NP
-7.12587831043 ROOT  _well , _what SQ _?
-9.13935755365 ROOT  INTJ S
-9.83098150467 ROOT  SBARQ INTJ
-8.22428707818 ROOT  INTJ _, NP _'s PP .
-7.63663608929 ROOT  _that _'s NP _, SQ
-8.22428707818 ROOT  _yes _, NP VP _, AUX _n't NP .
-6.838221681 ROOT  PRP _just VP .
-16.3186655232 ROOT  INTJ , S , S , INTJ .
-7.63663608929 ROOT  _perhaps NP VP _.
-8.44735431983 ROOT  INTJ _, _there COP NP _.
-16.3186655232 ROOT  INTJ , S .
-6.30762486046 ROOT  _Adam _, SQ
-3.46927690293 ROOT  VP _.
-7.88790205974 ROOT  _it COP PP .
-7.63663608929 ROOT  _why VP .
-7.75439792435 ROOT  _there _are NP .
-8.44735431983 ROOT  NP , NP _.
-16.3186655232 ROOT  INTJ , SBARQ , NP
-7.12587831043 ROOT  UH , VP _?
-5.90217471961 ROOT  UH UH .
-8.22428707818 ROOT  VP NP
-8.44735431983 ROOT  NP _, SBARQ
-7.88790205974 ROOT  FRAG , VP .
-9.83250473421 ROOT  FRAG , NP , _here _'s NP _.
-7.1948639126 ROOT  _that COP NP _?
-8.22428707818 ROOT  NP _, INTJ
-9.83098150467 ROOT  INTJ , NP , INTJ
-8.73490922245 ROOT  INTJ , S , UH .
-8.44735431983 ROOT  UH , NP _, FRAG
-4.37443827673 ROOT  INTJ _, S
-16.3186655232 ROOT  SINV , NP
-5.69087132781 ROOT  _no _, _I VP _.
-7.63663608929 ROOT  MD _you VP .
-16.3186655232 ROOT  SBARQ NP
-8.44735431983 ROOT  INTJ _, PRP VP _, PRP VP .
-5.43956228466 ROOT  _they VP .
-8.44735431983 ROOT  UH _, NP , S
-3.76098223564 ROOT  _you VP _?
-9.83098150467 ROOT  INTJ S SQ
-7.43599623185 ROOT  INTJ _, NP VP , AUX PRP .
-16.3186655232 ROOT  INTJ FRAG , NP
-7.88790205974 ROOT  NP VP _and PRP VP
-16.3186655232 ROOT  SINV , NP , S
-8.22428707818 ROOT  NP CC NP _.
-16.3186655232 ROOT  S SBARQ
-9.14012003939 ROOT  SQ _or SQ
-6.27863860648 ROOT  _you _can VP _.
-5.36810462054 ROOT  VP _, _Adam .
-9.14012003939 ROOT  S , NNP _Milkman .
-9.14012003939 ROOT  _oh S S
-7.63663608929 ROOT  NP VP , _I VP .
-4.75261643986 ROOT  _did _you VP _?
-9.13935755365 ROOT  FRAG , INTJ , FRAG
-7.53129253442 ROOT  _what NN _?
-16.3186655232 ROOT  INTJ , SINV
-8.22428707818 ROOT  MD PRP VP .
-16.3186655232 ROOT  SQ FRAG , NP
-16.3186655232 ROOT  INTJ NP S
-5.49020503836 ROOT  INTJ _, _you VP _.
-7.63663608929 ROOT  S _, NNP _.
-16.3186655232 ROOT  SQ , NP , S
-16.3186655232 ROOT  INTJ , NP , FRAG
-7.06134614999 ROOT  NP VP , SQ
-6.36824667594 ROOT  _can PRP VB NP _?
-6.94357371558 ROOT  VB _, S
-16.3186655232 ROOT  INTJ , NP , SBARQ
-6.94340410907 ROOT  SQ
-16.3186655232 ROOT  SBARQ SQ
-7.88790205974 ROOT  S _, VP _.
-16.3186655232 ROOT  INTJ , NP
-7.34899641936 ROOT  _Adam _, FRAG
-16.3186655232 ROOT  NP INTJ S
-16.3186655232 ROOT  S , NP .
-6.19640395182 ROOT  _no _, FRAG
-16.3186655232 ROOT  INTJ , NP , S , NP
-6.94357371558 ROOT  CC VP .
-9.83098150467 ROOT  INTJ S , SQ
-16.3186655232 ROOT  INTJ , INTJ , NP
-5.80865133434 ROOT  _a NN _.
-9.83250473421 ROOT  INTJ _, NP , SQ , _please .
-4.98198809619 ROOT  NP VP _?
-9.14012003939 ROOT  _careful _, NP , _did _you VP _?
-16.3186655232 ROOT  NP , INTJ , S
-9.83250473421 ROOT  _oh SQ
-8.44735431983 ROOT  _now _, SBARQ
-9.14012003939 ROOT  S _Adam S
-9.14012003939 ROOT  INTJ , NP , S _, NP
-8.04201639773 ROOT  UH _, NNP , _you VP _.
-5.34537676381 ROOT  _can PRP VP _?
-9.83098150467 ROOT  S , NP , SBARQ
-6.61509339582 ROOT  MD _I VP _?
-16.3186655232 ROOT  INTJ NP , FRAG
-7.26896349714 ROOT  PRP VP _, UH .
-6.65591284596 ROOT  _does NP VP _?
-7.12587831043 ROOT  INTJ _, PRP VP _, SQ
-4.65222958325 ROOT  _it VP .
-5.25930356979 ROOT  _hmm _?
-6.17042949555 ROOT  UH _, NP VP _.
-16.3186655232 ROOT  INTJ , S CC SQ
-16.3186655232 ROOT  S , SQ , NP
-9.83098150467 ROOT  FRAG , NP .
-6.04980595608 ROOT  DT NN _?
-6.09632431948 ROOT  _it _'s ADJP .
-9.83098150467 ROOT  INTJ , FRAG , NP
-16.3186655232 ROOT  S , INTJ
-7.00072714058 ROOT  FRAG _, NNP .
-9.83250473421 ROOT  S _and S _, NP , INTJ
-8.04201639773 ROOT  UH _, SBAR _.
-5.26966619287 ROOT  NNP .
-16.3186655232 ROOT  S , FRAG , NP
-9.14012003939 ROOT  S , VP , S
-8.44735431983 ROOT  S _but NP VP _.
-9.83098150467 ROOT  INTJ , NP , SBARQ , S
-7.75439792435 ROOT  NP _, VP .
-3.19415245799 ROOT  WHNP _?
-6.94357371558 ROOT  _are NP VBG NP .
-8.04176204189 ROOT  ADJP
-8.22428707818 ROOT  ADJP , VP .
-8.44735431983 ROOT  _oh , _you _'re VBG PP .
-9.83250473421 ROOT  FRAG _, NNP PP
-7.43585746823 ROOT  NP
-7.88790205974 ROOT  INTJ _, _honey _.
-9.14012003939 ROOT  S _what SQ _?
-16.3186655232 ROOT  NP , SINV , NP
-9.83098150467 ROOT  INTJ , S NP
-7.63663608929 ROOT  INTJ _, S _, NP
-9.83250473421 ROOT  _oh _, S , S _, INTJ _.
-16.3186655232 ROOT  INTJ , S SQ
-6.22307111309 ROOT  _and WHNP SQ _?
-7.06134614999 ROOT  _will NP VP _?
-7.53129253442 ROOT  _she VP .
-8.44735431983 ROOT  INTJ _, NP VP _, SQ
-8.44735431983 ROOT  SBAR VP .
-16.3186655232 ROOT  INTJ , NP , SINV
-8.04201639773 ROOT  S CC PRP VP
-9.14012003939 ROOT  INTJ _, NP _, _here _'s NP _.
-6.53813687802 ROOT  SBAR PRP VP _.
-5.65961952994 ROOT  PRP _'ll VP _.
-8.04201639773 ROOT  COP _n't _that NP _?
-7.43599623185 ROOT  _that COP NP _.
-9.83250473421 ROOT  S , FRAG _, NP
-5.64435241368 ROOT  _well _, S
-7.75439792435 ROOT  PRP VP _!
-16.3186655232 ROOT  INTJ , S , S .
-6.22307111309 ROOT  PRP _'re VP .
-16.3186655232 ROOT  S , S , FRAG
-6.53813687802 ROOT  SBAR .
-6.46668181349 ROOT  INTJ _, _she VP _.
-6.61509339582 ROOT  NP RB VP _.
-9.83250473421 ROOT  NP _no S
-16.3186655232 ROOT  FRAG , INTJ , S
-16.3186655232 ROOT  INTJ INTJ
-6.838221681 ROOT  PRP VP , _Adam _.
-6.53813687802 ROOT  _maybe NP VP _.
-5.62931488156 ROOT  _oh _, VP .
-7.75439792435 ROOT  NNP _, SBARQ
-16.3186655232 ROOT  INTJ FRAG
-7.43599623185 ROOT  _do _you VB DT NN _?
-6.69846969477 ROOT  UH , _that VP _.
-8.44735431983 ROOT  _is PRP _alright _?
-7.75439792435 ROOT  NP _is PP .
-9.14012003939 ROOT  UH _no _, VP _, NNP .
-5.98385020299 ROOT  VB NP .
-8.73490922245 ROOT  _look SBAR _.
-5.67512334948 ROOT  _he VP .
-16.3186655232 ROOT  SQ FRAG
-7.75439792435 ROOT  INTJ _, _that COP NOT NP _.
-16.3186655232 ROOT  SQ , CC FRAG
-8.44735431983 ROOT  SBARQ _, _Adam .
-16.3186655232 ROOT  INTJ , NP , SQ
-6.1204209845 ROOT  _there VP _.
-16.3186655232 ROOT  NP SQ
-9.83250473421 ROOT  INTJ _, NP , S _, S
-7.75439792435 ROOT  WHNP SQ , NNP _?
-9.83098150467 ROOT  FRAG , INTJ , NP
-6.02733387127 ROOT  _oh _, WHNP SQ _?
-9.83098150467 ROOT  FRAG , NP , FRAG
-6.7894351516 ROOT  NN VP .
-7.00072714058 ROOT  _a JJ NN _.
-16.3186655232 ROOT  INTJ , FRAG , S
-9.83250473421 ROOT  INTJ , SBARQ _, FRAG
-16.3186655232 ROOT  FRAG , SQ
-16.3186655232 ROOT  INTJ , S , FRAG
-5.10662895812 ROOT  _ok _.
-7.53129253442 ROOT  _those VP .
-8.73440070477 ROOT  FRAG SQ
-3.89225791094 RP  _in
-2.95003293913 RP  _away
-5.80650314535 RP  _ahead
-1.57847568683 RP  _up
-5.80650314535 RP  _for
-1.7482569033 RP  _out
-2.40712560041 RP  _back
-5.80650314535 RP  _behind
-1.6229274494 RP  _off
-4.44786031556 RP  _around
-3.00369388047 RP  _on
-2.31496659661 RP  _down
-3.13298165179 RP  _together
-3.64005022668 RP  _over
-4.04239520745 RP  _apart
-5.80650314535 RP  _aside
-14.0838874794 S  INTJ VP .
-7.10567373673 S  INTJ , NP _just _pretend _.
-4.54158502624 S  NP COP NP _.
-5.31469120795 S  NNP VP _.
-7.10567373673 S  _and NP _'re _a _little _boy _.
-4.24435195331 S  _you _have TO VP _.
-5.85357668022 S  NP VP CC VP _.
-6.00768295212 S  NP VP SBAR _.
-5.72007859484 S  PRP _'ll VP
-14.0838874794 S  NP VP SBAR .
-5.60232146558 S  NNP _has NP .
-14.0838874794 S  NP VBP
-5.60211423317 S  RB NP VP .
-5.72007859484 S  _look
-14.0838874794 S  INTJ ADVP NP VP .
-6.18994234112 S  RB PRP _'ll VP _.
-7.10567373673 S  NP _does _n't VP _.
-14.0838874794 S  ADVP VP
-5.85357668022 S  NP AUX _going _to VP .
-6.412992648 S  _now VP
-6.70051933237 S  _now _you MD VP .
-7.79788938485 S  S , INTJ , _and S .
-7.7960289192 S  NP ADJP
-5.72007859484 S  NP _is _*T*
-6.18956941552 S  ADVP ADVP NP VP .
-7.79788938485 S  _*T* VP
-7.7960289192 S  ADVP NP NP VP .
-6.412992648 S  _you _do
-6.70051933237 S  _it _'s RB JJ _.
-7.79788938485 S  _to _go IN _bed
-7.79788938485 S  NP VP , NP , COMP PRP VP _.
-6.00768295212 S  _I _do NOT VP _.
-14.0838874794 S  , VP .
-6.41252655617 S  VP VP .
-7.79788938485 S  NP _what ADVP
-7.79788938485 S  NP VP , _but VP .
-6.412992648 S  SBAR NP VP _.
-6.70051933237 S  VB _.
-7.10567373673 S  VB NP _in _and _close _the NN _.
-5.72007859484 S  _let _me VB NP _.
-14.0838874794 S  SBAR NP VP NP VP
-5.40151888998 S  SBAR NP VP
-7.10567373673 S  _it VBZ SBAR _.
-7.7960289192 S  SBAR , INTJ , NP VP .
-5.23466045792 S  _we VP
-7.7960289192 S  S CC FRAG ADVP
-5.72007859484 S  _you RB VP .
-7.10567373673 S  NP AUX VP _.
-4.96632050753 S  _he VP _.
-6.69989802138 S  INTJ , VP
-3.17428677265 S  NP VP
-5.09157874681 S  _I VP CC PRP VP .
-7.10567373673 S  _excuse _me , _please
-14.0838874794 S  NP , INTJ , VP .
-14.0838874794 S  VP , INTJ
-14.0838874794 S  INTJ , NP ADVP VP .
-5.71984546744 S  S CC S .
-5.85357668022 S  SBAR ADVP PRP VP _.
-3.72167845241 S  TO VP
-7.79788938485 S  INTJ NP VP PP _.
-7.10567373673 S  NP VP CC RB NP VP
-7.10567373673 S  S _, _not S _.
-7.10567373673 S  NP MD _n't VP _.
-6.00768295212 S  PRP _never VP _.
-14.0838874794 S  VP , INTJ , NP .
-5.49698167553 S  NNP _is PP _.
-6.00768295212 S  NP _'s _right
-14.0838874794 S  ADVP , NP , NP ADVP VP .
-5.16056273529 S  _look _at NP _.
-7.79788938485 S  VB NP _in
-6.412992648 S  _this _is PP _.
-7.10567373673 S  _if PRP _take NNS RP NP _will _come _off _.
-6.412992648 S  NP _are NP _.
-7.79788938485 S  INTJ _, _thank _you _.
-7.79788938485 S  NP _said _*T*
-14.0838874794 S  NP ADVP VP .
-14.0838874794 S  VP , S
-7.7960289192 S  S CC SBARQ .
-6.00768295212 S  NP COP ADJP .
-4.8039277655 S  PRP _do _n't VP .
-7.79788938485 S  PRP VP , VP _.
-6.412992648 S  NP _is NOT NP _.
-14.0838874794 S  S , INTJ , CC S .
-14.0838874794 S  SBAR ADVP NP VP .
-6.18994234112 S  PP PRP VP .
-6.412992648 S  NP VP _but NP VP _.
-14.0838874794 S  SBAR ADVP VP
-14.0838874794 S  NP VP , PP .
-7.7960289192 S  SBAR NP VP ADVP .
-6.00768295212 S  _to VB
-5.85357668022 S  VB _him VP
-5.0914543919 S  _that _'s NP _.
-5.85331026221 S  PRP VP .
-5.40168845336 S  _that _'s _not ADJP _.
-5.60149279348 S  NP VP _.
-7.7960289192 S  NOT NP
-6.412992648 S  _I _think NP VP
-6.00768295212 S  VP CC S _.
-7.10474220429 S  NP NP
-5.31469120795 S  _it _'s NP .
-7.79788938485 S  _close _the NN
-7.79788938485 S  NP VP _but PRP VP _.
-7.79788938485 S  NP _will _n't VP
-6.00768295212 S  RB VP
-6.412992648 S  NP VP , NP _.
-14.0838874794 S  NP ADVP ADVP
-6.00768295212 S  _I _thought NP VP .
-14.0838874794 S  INTJ NP VP PP .
-7.79788938485 S  ADVP _, NP , NP ADVP VP _.
-14.0838874794 S  NP VP , SQ , SBAR .
-5.60232146558 S  S CC RB NP VP .
-5.31453577156 S  PRP VP _.
-14.0838874794 S  NP VP ADVP .
-14.0838874794 S  CC S .
-7.7960289192 S  INTJ NP VP
-6.70051933237 S  VP _and _see _.
-7.10474220429 S  _she VP _.
-7.79788938485 S  NP VBD NP .
-14.0838874794 S  SBAR NP VP .
-14.0838874794 S  CC ADVP NP VP .
-6.18994234112 S  _you VBP ADVP _.
-14.0838874794 S  S CC S
-5.72007859484 S  _go VP _.
-14.0838874794 S  INTJ NP VP .
-14.0838874794 S  NP COP ADJ
-6.18994234112 S  NP VP ADVP _.
-5.85357668022 S  PRP AUX NOT VP _.
-5.85331026221 S  ADVP NP VP
-5.85357668022 S  _you _might VP _.
-5.60232146558 S  PRP VBP
-14.0838874794 S  VP VP
-4.3031326922 S  _do _n't VP _.
-6.70051933237 S  _he _thinks NP VP .
-14.0838874794 S  NP VP , INTJ .
-14.0838874794 S  S .
-5.72007859484 S  _you MD VB NP PP _.
-7.79788938485 S  _you _'re _looking PP .
-14.0838874794 S  NP WHNP ADVP
-14.0838874794 S  SBAR NP ADVP VP .
-7.10567373673 S  ADJP _, _you VB ADVP ADVP
-7.10567373673 S  SBAR _the _battery _will VP
-7.7960289192 S  WHNP VP
-7.10474220429 S  NP _'s PP .
-7.79788938485 S  VB PP _.
-3.48194187394 S  VP
-7.10567373673 S  PRP _just VP .
-4.90927791734 S  _I AUX _n't _think _that VP .
-7.79788938485 S  PRP _'s VBG -NONE-
-6.70051933237 S  PRP VP ADVP
-6.412992648 S  _first NP VP .
-6.412992648 S  NP VP CC _that COP NP _.
-5.85357668022 S  _perhaps NP VP _.
-7.79788938485 S  INTJ _tomorrow PRP VP .
-5.85357668022 S  _you _'re JJ
-5.71984546744 S  VP _.
-7.7960289192 S  S CC S CC S
-7.10474220429 S  _it VP _.
-7.10567373673 S  SBAR _then VP
-7.10567373673 S  _only NP VP _.
-6.00768295212 S  _I _'m VP _.
-6.70051933237 S  _there _are NP .
-14.0838874794 S 
-6.70051933237 S  _that VP .
-6.18994234112 S  _I _thought NP VBD NP VP _.
-5.40168845336 S  _let _'s VP _.
-7.10567373673 S  NP VBZ NP
-6.41252655617 S  _you VP .
-7.7960289192 S  NP VP , ADVP
-6.70051933237 S  _to VB NP IN NP
-7.7960289192 S  VP NP
-6.18994234112 S  _I VB _.
-5.49698167553 S  _maybe NP VP
-14.0838874794 S  NP ADVP
-14.0838874794 S  S CC RB S .
-5.16042949966 S  TO VB NP
-14.0838874794 S  ADVP NP VP .
-7.10567373673 S  _it COP -NONE-
-7.10567373673 S  _he _might VP SBAR
-4.16182354125 S  _you VP _.
-5.60232146558 S  _they VP .
-5.60232146558 S  PRP MD ADVP VP .
-4.90927791734 S  PRP _just VP _.
-6.18994234112 S  _it _says VP _.
-14.0838874794 S  VP , INTJ .
-6.41252655617 S  NP VP CC NP VP .
-14.0838874794 S  NP VP , CC VP .
-4.90917428503 S  NP ADVP VP
-14.0838874794 S  NP VP CC VP .
-7.10567373673 S  INTJ NP VP _.
-4.08613574843 S  _this _is NP _.
-7.79788938485 S  _count NP _.
-4.03850981582 S  _I VP
-5.60232146558 S  NP _are _*T*
-7.79788938485 S  VP _, VB , VP .
-6.00768295212 S  _you _can VP _.
-7.79788938485 S  NP VP NP _.
-4.08613574843 S  VP _and VP _.
-4.3984937495 S  _I VBP NP VP _.
-14.0838874794 S  NP .
-3.99304937001 S  _we VP _.
-6.70051933237 S  NP _'s _not NP _.
-7.79788938485 S  ADVP VP NP _.
-7.7960289192 S  NP VP , S
-3.53704716453 S  _that COP ADJP _.
-14.0838874794 S  NOT VP
-3.92839684683 S  _you VP
-7.7960289192 S  PP NP VP .
-6.412992648 S  _that COP _not NNP .
-14.0838874794 S  INTJ .
-6.18994234112 S  S _and S
-14.0838874794 S  NP , NP VP .
-7.79788938485 S  NP VP _, SQ , SBAR .
-7.7960289192 S  PP NP VP
-5.40168845336 S  _now PRP VP _.
-7.7960289192 S  ADVP SBAR NP VP
-5.16056273529 S  NP VP _and PRP VP _.
-14.0838874794 S  ADVP ADVP S .
-4.96643023486 S  _that COP ADJP
-14.0838874794 S  S , S
-6.00768295212 S  _oh UH _, _he VP _.
-4.8552161507 S  _you VP _and VP _.
-7.79788938485 S  VB _, S
-4.755142043 S  _do NOT VP
-7.7960289192 S  S , CC FRAG .
-14.0838874794 S  NP VP NP .
-7.7960289192 S  ADVP VP .
-5.31453577156 S  RB NP VP
-14.0838874794 S  NP S
-5.02704799837 S  _maybe PRP MD VP _.
-5.60232146558 S  _come PRT
-7.10567373673 S  PRP AUX NOT VP
-7.10474220429 S  CC VP .
-14.0838874794 S  S , CC S .
-14.0838874794 S  VP , VP , VP .
-6.412992648 S  _that COP _*T*
-14.0838874794 S  ADJP , NP .
-5.02704799837 S  _that _'s NP
-6.00768295212 S  S _, _but NP VP _.
-7.10567373673 S  DT NN VP , UH _.
-7.10567373673 S  _well PRP VP _.
-7.7960289192 S  ADVP NP ADVP VP
-14.0838874794 S  ADVP SBAR NP VP .
-14.0838874794 S  INTJ , SBAR NP VP .
-4.90927791734 S  _that _'s DT NN _.
-7.79788938485 S  SBAR NP ADVP VP _.
-7.10567373673 S  _this VP _.
-14.0838874794 S  ADVP VP NP .
-4.54158502624 S  _I _'m ADJP _.
-6.70051933237 S  CC ADVP PRP VP _.
-6.69927709618 S  -NONE- VP
-7.79788938485 S  SBAR , NP VB _.
-7.10474220429 S  INTJ , NP VP
-14.0838874794 S  SBAR , NP VP .
-5.72007859484 S  _that _'s SBAR _.
-6.412992648 S  _not VP
-6.70051933237 S  TO VB NP _*T*
-6.18994234112 S  _it VP .
-7.7960289192 S  VP SBAR .
-5.16056273529 S  _I _'m NOT VP .
-7.79788938485 S  PRP$ NNS VBP
-14.0838874794 S  ADJP , NP VP
-5.49679516056 S  _that VP _.
-7.79788938485 S  _he COP JJ _.
-6.70051933237 S  NP RB VP .
-6.18994234112 S  _that _'s NP .
-14.0838874794 S  NP VP NP
-7.79788938485 S  _it _'s ADJP .
-5.85357668022 S  ADVP _you MD VP
-7.79788938485 S  , _let _'s VP _.
-7.79788938485 S  NP _, INTJ , VP .
-14.0838874794 S  INTJ , VP .
-14.0838874794 S  SBAR ADVP S .
-4.54158502624 S  PRP MD VB NP _.
-7.79788938485 S  PRP _have TO VP .
-14.0838874794 S  WHADVP VP
-6.70051933237 S  _those COP NP
-7.7960289192 S  VP , NP .
-6.18994234112 S  _ask _him _if NP VP _.
-14.0838874794 S  INTJ , NP VP .
-7.10567373673 S  VP _, INTJ , _honey _.
-7.7960289192 S  PP ADVP NP VP .
-7.10567373673 S  _you MD VP .
-6.00768295212 S  _put _it PP _.
-6.00768295212 S  VB PRP NP .
-5.40168845336 S  _you _almost VP _.
-5.49698167553 S  _I _can _n't VP .
-5.49698167553 S  PRP _does NOT _have NP _.
-6.18956941552 S  NP NP VP .
-14.0838874794 S  VP , CC NP VP .
-6.18882398127 S  VP .
-6.41252655617 S  NP
-7.10567373673 S  ADVP NP VP _.
-7.10567373673 S  _you MD NOT VP
-7.79788938485 S  _you VBP -NONE-
-14.0838874794 S  VP PP
-6.70051933237 S  _she VP .
-14.0838874794 S  NP VP , NP .
-5.49698167553 S  _that VP
-5.49698167553 S  _I _thought PRP _were VP .
-6.412992648 S  _it _'s DT NN .
-5.23466045792 S  SBAR PRP VP _.
-4.3984937495 S  _those _are NP _.
-4.755142043 S  PRP _'ll VP _.
-5.23466045792 S  _that COP NP _.
-6.70051933237 S  NP _really VBZ
-14.0838874794 S  S , NOT S .
-6.18994234112 S  ADVP SBAR NP VP _.
-4.96643023486 S  TO VB -NONE-
-7.7960289192 S  SBAR ADVP NP VP
-6.18994234112 S  PRP VP _!
-7.7960289192 S  NP VP PP .
-7.7960289192 S  VP , INTJ ,
-7.10474220429 S  NP NP VP
-14.0838874794 S  NP VP , NP , SBAR .
-5.72007859484 S  _then PRP VP
-14.0838874794 S  SBAR .
-7.10567373673 S  NP RB VP _.
-5.16056273529 S  _he VBZ NP _.
-4.90896705261 S  _I VP _.
-14.0838874794 S  FRAG VP .
-14.0838874794 S  CC NP VP .
-5.85357668022 S  _there NP VP _.
-6.18994234112 S  _maybe NP VP _.
-4.90927791734 S  _then NP VP _.
-7.7960289192 S  NP NOT VP
-3.27774169668 S  PRP VP
-14.0838874794 S  SQ CC S .
-6.41252655617 S  _I VP .
-7.79788938485 S  _you TO VB NP
-14.0838874794 S  IN NP VP .
-14.0838874794 S  NP VP ADVP
-7.79788938485 S  NP VBD -NONE-
-7.10567373673 S  _that VP NP _said .
-14.0838874794 S  VP NP .
-7.10567373673 S  NP _is PP .
-14.0838874794 S  -NONE-
-14.0838874794 S  WHADVP
-14.0838874794 S  INTJ , ADVP VP .
-7.79788938485 S  _oh PRP VP .
-5.02658174355 S  NP VP .
-7.10567373673 S  VP , CC NP VP _.
-5.85357668022 S  _look SBAR _.
-7.10567373673 S  _oh NP VP .
-5.60232146558 S  NP COP ADJP
-7.10567373673 S  _he VP .
-6.412992648 S  _see
-5.31469120795 S  _let PRP VP _.
-14.0838874794 S  NP VP SBAR
-6.18994234112 S  PRP VP _and NP VP _.
-6.00768295212 S  _wait
-7.79788938485 S  INTJ _, _that COP NOT NP _.
-5.16056273529 S  _that _'s _not NP
-5.40168845336 S  _there COP NP ADVP .
-14.0838874794 S  S , S .
-6.18994234112 S  _now VP .
-6.412992648 S  _I VP , _but VP _.
-14.0838874794 S  NP PP
-5.09157874681 S  _there VP _.
-5.60232146558 S  NP _only VP _.
-6.412992648 S  _here NP VP .
-14.0838874794 S  ADVP S .
-3.70537766202 S  _I _think NP VP .
-7.79788938485 S  _it _says NP
-6.41252655617 S  CC NP VP
-3.99238626749 S  _to VP
-7.79788938485 S  _I AUX _n't VP _.
-4.54158502624 S  _he VP
-6.70051933237 S  _here PRP _are .
-14.0838874794 S  S CC SQ .
-7.10567373673 S  _no _, NP VP .
-7.10567373673 S  _sometimes NP VP _.
-6.00768295212 S  _I _'m NOT ADJP _.
-5.72007859484 S  _that COP RB NP .
-6.70051933237 S  _those VP .
-6.70051933237 S  NP VP _and NP VP _.
-4.11371312441 SBAR  WHADVP _it VBZ _*T*
-5.54790717769 SBAR  WRB NP _was -NONE-
-5.07761153501 SBAR  COMP S
-4.38555984479 SBAR  _if PRP _can VP
-7.14688595933 SBAR  ADVP WHADVP S
-3.44479930779 SBAR  _when _you VP
-4.67312013681 SBAR  _how TO VP
-6.05407078835 SBAR  WHNP S
-4.45007400866 SBAR  _if _she VP
-12.3001775538 SBAR  WHNP SQ
