# -608257.273578
0. *NULL* 
-2.91650384399e-17 ,  _,
-7.56578524099 FRAG  SBAR WHNP VP
-14.0334839671 FRAG  S CC FRAG
-7.56733924286 FRAG  ADVP _?
-7.56733924286 FRAG  ADJP , ADJP , ADJP _?
-14.0334839671 FRAG  NP NP .
-7.56578524099 FRAG  CC SBAR .
-5.26599909245 FRAG  ADVP NP
-7.56578524099 FRAG  ADJP CC WHNP .
-14.0334839671 FRAG  S
-5.26599909245 FRAG  NP CC NP .
-4.27300110898 FRAG  DT NN PP .
-14.0334839671 FRAG  WHNP PP .
-6.87496996977 FRAG  NOT NP _, NP .
-6.46976429868 FRAG  _and WHNP .
-6.8741920623 FRAG  VP VP .
-14.0334839671 FRAG  WHADVP NP VP .
-7.56578524099 FRAG  CC SQ
-7.56733924286 FRAG  CD _what _?
-7.56733924286 FRAG  S CC S _and _when _you VP
-7.56578524099 FRAG  WHADVP NP .
-14.0334839671 FRAG  WHNP PP
-6.8741920623 FRAG  INTJ , NP .
-7.56578524099 FRAG  NP NP NP NP NP NP .
-7.56578524099 FRAG  SBAR NP VP
-5.17085879769 FRAG  WHPP _?
-7.56733924286 FRAG  UH _.
-6.87496996977 FRAG  VB _it WHNP _?
-14.0334839671 FRAG  CC ADVP .
-7.56578524099 FRAG  ADJP ADVP
-14.0334839671 FRAG  ADJP WHNP NP .
-7.56733924286 FRAG  NP CD NP NP PP
-14.0334839671 FRAG  S , INTJ CC FRAG
-14.0334839671 FRAG  DT NNS
-4.92950461111 FRAG  NP VP
-14.0334839671 FRAG  NOT PP .
-7.56733924286 FRAG  NP _, NP , CC NP .
-5.37149803078 FRAG  _just NP .
-7.56578524099 FRAG  NP , ADVP SBAR .
-6.87496996977 FRAG  _one , NP _, NP , NP , _one
-7.56733924286 FRAG  S , INTJ _and FRAG
-6.18221196999 FRAG  JJ ADVP _.
-14.0334839671 FRAG  PP , INTJ
-6.8741920623 FRAG  DT JJ NN
-6.46976429868 FRAG  _one _, _two _, CD _, _four _.
-5.95914627301 FRAG  JJ NN NN .
-7.56578524099 FRAG  S CC S .
-14.0334839671 FRAG  NOT VP .
-14.0334839671 FRAG  ADJP , ADJP .
-5.37149803078 FRAG  VBG WHNP _?
-5.95914627301 FRAG  _over PP .
-6.87496996977 FRAG  NP COP NP
-14.0334839671 FRAG  IN
-7.56733924286 FRAG  NP , ADVP _.
-14.0334839671 FRAG  INTJ , NP NP .
-7.56578524099 FRAG  NP CC .
-6.18221196999 FRAG  WP _kind _of _cake _?
-7.56733924286 FRAG  _oh , S , SQ _, CC FRAG .
-6.46976429868 FRAG  _airplane VB _.
-7.56733924286 FRAG  ADVP _why VP
-5.95883489203 FRAG  ADVP
-5.48906478943 FRAG  COMP NP VP
-6.46976429868 FRAG  _because S
-14.0334839671 FRAG  INTJ , NOT PP .
-5.62254057552 FRAG  INTJ NP .
-14.0334839671 FRAG  NP ADVP VP .
-6.87496996977 FRAG  UH _, DT _one ADVP _.
-14.0334839671 FRAG  S CC S CC
-5.62276302019 FRAG  CC SBARQ _?
-6.18221196999 FRAG  WHADVP AUX NOT PRP VP
-7.56733924286 FRAG  NP ADVP _and NP .
-5.95883489203 FRAG  NP INTJ .
-7.56733924286 FRAG  UH _no _.
-6.87496996977 FRAG  FRAG _but S .
-7.56578524099 FRAG  VP , VP , NP .
-7.56578524099 FRAG  NOT ADVP PP .
-6.46976429868 FRAG  _not ADJP .
-14.0334839671 FRAG  NP , ADVP .
-5.77687662247 FRAG  _Mr NNP .
-14.0334839671 FRAG  PP VP .
-7.56578524099 FRAG  COMP PP .
-4.92972708052 FRAG  CC WP _else _?
-7.56733924286 FRAG  NP NP NP ADVP _.
-6.87496996977 FRAG  ADVP _.
-6.18221196999 FRAG  IN NP VP _?
-5.95914627301 FRAG  _so NP _will _n't VP _.
-5.48925943663 FRAG  _because NP VP CC S _.
-5.62276302019 FRAG  RB NP _.
-5.37149803078 FRAG  NNP POS NN _.
-7.56578524099 FRAG  NOT PP , PP .
-5.77687662247 FRAG  NNS _?
-7.56578524099 FRAG  NOT NP
-14.0334839671 FRAG  NP VP , NP VP .
-5.37149803078 FRAG  _because NP _'s NP _.
-6.8741920623 FRAG  NP NP
-6.87496996977 FRAG  PP _I VP
-6.87496996977 FRAG  _and ADVP .
-6.87496996977 FRAG  _and _then WHNP SQ _?
-7.56578524099 FRAG  NOT PP SBAR .
-6.18221196999 FRAG  JJ NNS .
-4.16764636201 FRAG  _but PRP VP _.
-7.56733924286 FRAG  VP _, NP
-7.56733924286 FRAG  VBZ PP
-4.79620959388 FRAG  _in NP _?
-14.0334839671 FRAG  CC S .
-6.87496996977 FRAG  S _and S CC FRAG
-14.0334839671 FRAG  INTJ
-7.56733924286 FRAG  NP _for PRP , NP .
-14.0334839671 FRAG  SBAR NP VP .
-5.48925943663 FRAG  ADJP _.
-5.37132500543 FRAG  CC ADVP NP VP .
-7.56578524099 FRAG  PP ADVP .
-7.56733924286 FRAG  _and ADVP PP CC S .
-14.0334839671 FRAG  S CC S
-7.56733924286 FRAG  CC SBARQ _.
-5.95914627301 FRAG  RB WHNP .
-4.79620959388 FRAG  _not PP _.
-6.46976429868 FRAG  _no VP _.
-7.56733924286 FRAG  NN NN _?
-6.18221196999 FRAG  NNS _.
-14.0334839671 FRAG  VP , NP
-14.0334839671 FRAG  ADVP NP VP
-6.18182278921 FRAG  ADVP , NP .
-14.0334839671 FRAG  S .
-14.0334839671 FRAG  WHADVP VP .
-7.56578524099 FRAG  NOT ADJP
-14.0334839671 FRAG  S CC S CC FRAG
-14.0334839671 FRAG  NP , PP .
-6.18221196999 FRAG  CC SQ _?
-6.46976429868 FRAG  WHNP PP _?
-6.18221196999 FRAG  UH , NOT NP .
-6.18221196999 FRAG  CC _this VP .
-14.0334839671 FRAG  WHNP VP
-6.46924549193 FRAG  VB
-5.17085879769 FRAG  WHADVP PRP VP .
